Symbol,ID,is_feature_control,is_feature_control_mitochondrial,is_feature_control_ribosomal,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
CTD-2037L6.2,ENSG00000248132,0,0,0,0.0,0.0,0,100.0,0.0,0.0
PLK2,ENSG00000145632,0,0,0,0.007074020914496617,0.003061392791223936,58,99.40537215501332,69.0,1.845098040014257
GAPT,ENSG00000175857,0,0,0,0.15070740209144967,0.06096490676475596,1223,87.46155423416035,1470.0,3.16761267272753
CTD-2117L12.1,ENSG00000250127,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RAB3C,ENSG00000152932,0,0,0,0.000512610211195407,0.00022256674596849525,5,99.94873897888046,5.0,0.7781512503836436
RP11-479O16.1,ENSG00000248475,0,0,0,0.0023580069714988724,0.001022863929259068,23,99.76419930285012,23.0,1.380211241711606
CTD-2176I21.2,ENSG00000248733,0,0,0,0.0,0.0,0,100.0,0.0,0.0
PDE4D,ENSG00000113448,0,0,0,0.059155218371949966,0.02495961028945829,520,94.66885380356777,577.0,2.761927838420529
RP11-266N13.2,ENSG00000247345,0,0,0,0.004716013942997745,0.0020433244369473602,46,99.52839860570023,46.0,1.6720978579357175
CTD-2254N19.1,ENSG00000248935,0,0,0,0.0,0.0,0,100.0,0.0,0.0
AC109486.1,ENSG00000280447,0,0,0,0.0001025220422390814,4.4522474989331306e-05,1,99.9897477957761,1.0,0.3010299956639812
PART1,ENSG00000152931,0,0,0,0.004716013942997745,0.0020433244369473602,46,99.52839860570023,46.0,1.6720978579357175
DEPDC1B,ENSG00000035499,0,0,0,0.011379946688538036,0.004914338332662467,84,99.13881484519172,111.0,2.0492180226701815
ELOVL7,ENSG00000164181,0,0,0,0.00030756612671724423,0.00013355373440395,3,99.96924338732828,3.0,0.6020599913279624
RP11-231G3.1,ENSG00000272308,0,0,0,0.0023580069714988724,0.001022863929259068,22,99.77445150707402,23.0,1.380211241711606
ERCC8,ENSG00000049167,0,0,0,0.023785113799466885,0.010208810463543416,229,97.65224523272504,232.0,2.367355921026019
AC104113.3,ENSG00000233847,0,0,0,0.0,0.0,0,100.0,0.0,0.0
NDUFAF2,ENSG00000164182,0,0,0,0.10446996104162395,0.04315390859018803,893,90.84478162805003,1019.0,3.0086001717619175
SMIM15,ENSG00000188725,0,0,0,0.1168751281525528,0.04800461968156577,1038,89.35821201558335,1140.0,3.0572856444182146
CTC-436P18.1,ENSG00000251279,0,0,0,0.0001025220422390814,4.4522474989331306e-05,1,99.9897477957761,1.0,0.3010299956639812
CTC-436P18.3,ENSG00000249279,0,0,0,0.0,0.0,0,100.0,0.0,0.0
ZSWIM6,ENSG00000130449,0,0,0,0.028398605700225548,0.012161479156053742,264,97.29341808488824,277.0,2.444044795918076
RP11-2O17.2,ENSG00000248529,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2170G1.2,ENSG00000251575,0,0,0,0.0,0.0,0,100.0,0.0,0.0
CTD-2244C20.2,ENSG00000248199,0,0,0,0.0,0.0,0,100.0,0.0,0.0
KIF2A,ENSG00000068796,0,0,0,0.2735288086938692,0.10500877365398441,2160,77.85523887635841,2668.0,3.4263485737875077
DIMT1,ENSG00000086189,0,0,0,0.08786139019889276,0.03657356327886647,807,91.72647119130613,857.0,2.9334872878487053
IPO11,ENSG00000086200,0,0,0,0.015070740209144966,0.006496309256074674,142,98.54418700020504,147.0,2.1702617153949575
LRRC70,ENSG00000186105,0,0,0,0.0,0.0,0,100.0,0.0,0.0
